order_id,order_date,ship_date,delivery_date,customer_name,product_name,site_name,qty_m3,on_time_flag,in_full_flag,otif_flag,lead_time_days
ORD100050,2024-06-21,2024-06-25,2024-07-12,Saigon Builders,Timber Standard,Napier Port,56.4,0,1,0,21
ORD100051,2025-02-21,2025-02-22,2025-03-06,NZ Timber Co,Log A28,Auckland Port,57.4,0,1,0,13
ORD100052,2025-02-06,2025-02-08,2025-02-15,HB Lumber Ltd,Pulp Low Grade,Napier Port,43.6,1,1,1,9
ORD100053,2024-06-22,2024-06-26,2024-07-05,Tokyo Timber Group,Log B22,Auckland Port,43.1,1,0,0,13
ORD100054,2025-02-21,2025-02-23,2025-02-27,NZ Timber Co,Pulp High Grade,Auckland Port,46.6,1,1,1,6
ORD100055,2024-02-04,2024-02-05,2024-02-08,Saigon Builders,Timber Premium,Auckland Port,44.1,1,1,1,4
ORD100056,2025-11-21,2025-11-24,2025-12-05,Saigon Builders,Log A28,Auckland Port,34.2,0,1,0,14
ORD100057,2024-08-01,2024-08-02,2024-08-21,Tokyo Timber Group,Pulp High Grade,Napier Port,60.7,0,1,0,20
ORD100058,2024-05-15,2024-05-17,2024-05-22,Saigon Builders,Pulp High Grade,Auckland Port,41.7,1,1,1,7
ORD100059,2024-03-27,2024-04-01,2024-04-16,NZ Timber Co,Log B22,Napier Port,55.0,0,1,0,20
ORD100060,2024-05-28,2024-06-03,2024-06-17,Saigon Builders,Log B22,Napier Port,68.6,0,1,0,20
ORD100061,2025-08-17,2025-08-22,2025-09-09,HB Lumber Ltd,Timber Standard,Napier Port,33.1,0,1,0,23
ORD100062,2025-04-14,2025-04-18,2025-05-05,HB Lumber Ltd,Pulp Low Grade,Auckland Port,66.6,0,1,0,21
ORD100063,2024-07-13,2024-07-17,2024-07-24,Saigon Builders,Pulp Low Grade,Napier Port,60.1,1,1,1,11
ORD100064,2024-08-31,2024-09-04,2024-09-22,NZ Timber Co,Pulp Low Grade,Auckland Port,63.1,0,1,0,22
ORD100065,2025-01-24,2025-01-27,2025-02-13,Shanghai Wood Corp,Log B22,Auckland Port,38.9,0,1,0,20
ORD100066,2024-11-09,2024-11-12,2024-11-18,Tokyo Timber Group,Pulp Low Grade,Napier Port,47.7,1,1,1,9
ORD100067,2024-08-03,2024-08-05,2024-08-23,Tokyo Timber Group,Timber Premium,Napier Port,51.9,0,1,0,20
ORD100068,2025-06-28,2025-07-04,2025-07-20,Shanghai Wood Corp,Pulp Low Grade,Auckland Port,46.6,0,1,0,22
ORD100069,2024-02-15,2024-02-20,2024-03-07,HB Lumber Ltd,Log A28,Napier Port,57.3,0,1,0,21
ORD100070,2025-10-16,2025-10-21,2025-11-05,Tokyo Timber Group,Pulp Low Grade,Auckland Port,50.8,0,1,0,20
ORD100071,2024-01-05,2024-01-11,2024-01-23,NZ Timber Co,Log B22,Auckland Port,36.6,0,1,0,18
ORD100072,2025-08-25,2025-08-29,2025-09-12,Shanghai Wood Corp,Log A28,Napier Port,52.7,0,1,0,18
ORD100073,2025-08-25,2025-08-28,2025-08-31,NZ Timber Co,Pulp Low Grade,Napier Port,54.1,1,1,1,6
ORD100074,2025-12-14,2025-12-15,2025-12-29,NZ Timber Co,Timber Standard,Auckland Port,52.0,0,1,0,15
ORD100075,2025-10-20,2025-10-26,2025-11-04,Shanghai Wood Corp,Timber Premium,Auckland Port,64.2,1,1,1,15
ORD100076,2025-10-01,2025-10-06,2025-10-11,NZ Timber Co,Log B22,Napier Port,43.4,1,1,1,10
ORD100077,2024-12-30,2025-01-02,2025-01-11,NZ Timber Co,Timber Standard,Napier Port,60.2,1,1,1,12
ORD100078,2024-09-17,2024-09-20,2024-10-10,Tokyo Timber Group,Timber Premium,Auckland Port,45.6,0,1,0,23
ORD100079,2024-04-18,2024-04-20,2024-04-24,Shanghai Wood Corp,Pulp Low Grade,Auckland Port,36.2,1,1,1,6
ORD100080,2024-01-12,2024-01-14,2024-01-17,HB Lumber Ltd,Timber Standard,Napier Port,41.3,1,1,1,5
ORD100081,2025-03-28,2025-03-31,2025-04-09,NZ Timber Co,Timber Standard,Auckland Port,40.6,1,1,1,12
ORD100082,2025-03-10,2025-03-14,2025-04-02,HB Lumber Ltd,Timber Premium,Napier Port,44.3,0,0,0,23
ORD100083,2024-09-01,2024-09-06,2024-09-26,Tokyo Timber Group,Pulp High Grade,Napier Port,48.3,0,1,0,25
ORD100084,2024-02-05,2024-02-09,2024-02-22,Saigon Builders,Log B22,Napier Port,48.7,0,1,0,17
ORD100085,2024-06-08,2024-06-11,2024-06-23,Shanghai Wood Corp,Pulp High Grade,Napier Port,56.8,0,1,0,15
ORD100086,2025-09-03,2025-09-07,2025-09-26,HB Lumber Ltd,Timber Premium,Napier Port,37.6,0,0,0,23
ORD100087,2024-12-03,2024-12-07,2024-12-22,NZ Timber Co,Log B22,Auckland Port,70.2,0,1,0,19
ORD100088,2025-04-22,2025-04-24,2025-05-03,NZ Timber Co,Timber Premium,Napier Port,58.6,1,1,1,11
ORD100089,2024-05-23,2024-05-25,2024-06-11,HB Lumber Ltd,Timber Premium,Auckland Port,37.7,0,1,0,19
ORD100090,2024-07-30,2024-08-05,2024-08-15,NZ Timber Co,Pulp High Grade,Napier Port,58.5,1,1,1,16
ORD100091,2025-03-21,2025-03-26,2025-04-05,Tokyo Timber Group,Pulp Low Grade,Napier Port,58.0,1,1,1,15
ORD100092,2025-08-17,2025-08-19,2025-09-04,Shanghai Wood Corp,Pulp Low Grade,Auckland Port,41.1,0,1,0,18
ORD100093,2024-06-09,2024-06-11,2024-07-01,Tokyo Timber Group,Timber Premium,Napier Port,36.6,0,1,0,22
ORD100094,2024-11-16,2024-11-21,2024-11-24,Saigon Builders,Pulp Low Grade,Auckland Port,38.6,1,1,1,8
ORD100095,2024-12-14,2024-12-20,2024-12-26,Shanghai Wood Corp,Pulp Low Grade,Auckland Port,47.2,1,1,1,12
ORD100096,2024-09-04,2024-09-10,2024-09-13,NZ Timber Co,Timber Standard,Napier Port,36.2,1,1,1,9
ORD100097,2025-05-03,2025-05-08,2025-05-26,Tokyo Timber Group,Pulp High Grade,Napier Port,58.0,0,1,0,23
ORD100098,2025-10-21,2025-10-27,2025-11-07,Tokyo Timber Group,Pulp Low Grade,Auckland Port,49.5,0,1,0,17
ORD100099,2025-04-23,2025-04-26,2025-05-02,Tokyo Timber Group,Log B22,Auckland Port,46.0,1,1,1,9
ORD100100,2025-05-20,2025-05-22,2025-06-09,NZ Timber Co,Timber Premium,Napier Port,45.6,0,1,0,20
ORD100101,2025-09-18,2025-09-25,2025-10-15,HB Lumber Ltd,Pulp Low Grade,Napier Port,59.4,0,1,0,27
ORD100102,2024-06-16,2024-06-17,2024-06-22,HB Lumber Ltd,Pulp Low Grade,Napier Port,56.8,1,1,1,6
ORD100103,2025-08-27,2025-08-29,2025-09-03,Saigon Builders,Timber Standard,Auckland Port,46.5,1,1,1,7
ORD100104,2024-03-30,2024-04-06,2024-04-20,Shanghai Wood Corp,Log A28,Auckland Port,52.6,0,1,0,21
ORD100105,2024-04-29,2024-05-03,2024-05-10,HB Lumber Ltd,Log A28,Napier Port,50.7,1,1,1,11
ORD100106,2024-07-30,2024-07-31,2024-08-14,Tokyo Timber Group,Pulp High Grade,Napier Port,47.0,0,1,0,15
ORD100107,2024-11-28,2024-12-01,2024-12-15,Shanghai Wood Corp,Pulp High Grade,Napier Port,55.4,0,1,0,17
ORD100108,2024-02-09,2024-02-14,2024-02-25,Tokyo Timber Group,Log A28,Napier Port,49.1,0,1,0,16
ORD100109,2024-12-16,2024-12-18,2025-01-02,Tokyo Timber Group,Pulp Low Grade,Napier Port,43.5,0,1,0,17
ORD100110,2024-11-19,2024-11-22,2024-12-09,NZ Timber Co,Log B22,Auckland Port,48.9,0,1,0,20
ORD100111,2024-05-29,2024-06-03,2024-06-11,HB Lumber Ltd,Pulp High Grade,Auckland Port,60.8,1,1,1,13
ORD100112,2024-02-09,2024-02-14,2024-02-20,Shanghai Wood Corp,Log B22,Napier Port,54.2,1,1,1,11
ORD100113,2024-03-25,2024-03-30,2024-04-19,Saigon Builders,Pulp High Grade,Auckland Port,45.6,0,1,0,25
ORD100114,2024-02-02,2024-02-05,2024-02-13,Tokyo Timber Group,Pulp Low Grade,Napier Port,43.2,1,1,1,11
ORD100115,2024-01-20,2024-01-24,2024-01-29,NZ Timber Co,Log B22,Napier Port,47.9,1,1,1,9
ORD100116,2025-06-14,2025-06-21,2025-07-09,NZ Timber Co,Timber Standard,Napier Port,39.1,0,1,0,25
ORD100117,2024-10-18,2024-10-24,2024-11-02,HB Lumber Ltd,Pulp High Grade,Auckland Port,31.8,1,1,1,15
ORD100118,2025-07-10,2025-07-14,2025-07-20,Shanghai Wood Corp,Log A28,Auckland Port,59.9,1,1,1,10
ORD100119,2024-10-04,2024-10-08,2024-10-14,NZ Timber Co,Pulp Low Grade,Auckland Port,47.4,1,1,1,10
ORD100120,2024-07-22,2024-07-29,2024-08-04,Shanghai Wood Corp,Log A28,Auckland Port,49.1,1,1,1,13
ORD100121,2024-09-06,2024-09-07,2024-09-19,NZ Timber Co,Pulp Low Grade,Auckland Port,54.1,0,1,0,13
ORD100122,2025-03-19,2025-03-21,2025-03-28,NZ Timber Co,Timber Standard,Auckland Port,40.3,1,1,1,9
ORD100123,2024-10-04,2024-10-07,2024-10-23,Tokyo Timber Group,Timber Premium,Napier Port,41.7,0,1,0,19
ORD100124,2024-06-29,2024-06-30,2024-07-08,HB Lumber Ltd,Pulp High Grade,Napier Port,35.2,1,1,1,9
ORD100125,2024-05-29,2024-05-31,2024-06-06,NZ Timber Co,Timber Standard,Auckland Port,46.7,1,1,1,8
ORD100126,2024-11-29,2024-11-30,2024-12-03,Saigon Builders,Timber Premium,Auckland Port,43.0,1,1,1,4
ORD100127,2024-08-15,2024-08-19,2024-08-25,NZ Timber Co,Pulp Low Grade,Napier Port,57.0,1,1,1,10
ORD100128,2024-11-29,2024-12-04,2024-12-17,Shanghai Wood Corp,Pulp Low Grade,Napier Port,55.4,0,1,0,18
ORD100129,2024-08-31,2024-09-04,2024-09-24,Saigon Builders,Timber Standard,Napier Port,50.8,0,1,0,24
ORD100130,2024-04-10,2024-04-15,2024-04-26,NZ Timber Co,Timber Standard,Napier Port,65.9,0,1,0,16
ORD100131,2025-05-16,2025-05-18,2025-05-28,Tokyo Timber Group,Pulp Low Grade,Napier Port,38.9,1,1,1,12
ORD100132,2024-10-10,2024-10-15,2024-11-01,NZ Timber Co,Timber Standard,Auckland Port,59.1,0,1,0,22
ORD100133,2024-01-03,2024-01-06,2024-01-15,NZ Timber Co,Timber Premium,Napier Port,50.7,1,1,1,12
ORD100134,2024-12-29,2025-01-03,2025-01-23,Shanghai Wood Corp,Timber Premium,Napier Port,71.3,0,1,0,25
ORD100135,2024-07-04,2024-07-10,2024-07-16,HB Lumber Ltd,Log A28,Auckland Port,31.0,1,1,1,12
ORD100136,2025-04-28,2025-05-05,2025-05-16,HB Lumber Ltd,Log B22,Napier Port,46.4,0,1,0,18
ORD100137,2025-09-23,2025-09-27,2025-10-17,Shanghai Wood Corp,Pulp Low Grade,Auckland Port,50.1,0,1,0,24
ORD100138,2024-04-09,2024-04-15,2024-04-27,Shanghai Wood Corp,Timber Premium,Napier Port,46.1,0,1,0,18
ORD100139,2025-04-20,2025-04-25,2025-05-06,Shanghai Wood Corp,Timber Standard,Napier Port,54.8,0,1,0,16
ORD100140,2025-01-02,2025-01-05,2025-01-13,Tokyo Timber Group,Pulp Low Grade,Auckland Port,47.3,1,1,1,11
ORD100141,2025-01-15,2025-01-16,2025-01-23,NZ Timber Co,Timber Premium,Auckland Port,48.3,1,1,1,8
ORD100142,2024-07-06,2024-07-09,2024-07-26,Tokyo Timber Group,Pulp Low Grade,Auckland Port,42.2,0,0,0,20
ORD100143,2024-06-23,2024-06-27,2024-06-30,NZ Timber Co,Pulp High Grade,Auckland Port,42.3,1,1,1,7
ORD100144,2025-10-20,2025-10-23,2025-11-08,Saigon Builders,Timber Standard,Auckland Port,35.9,0,1,0,19
ORD100145,2025-05-23,2025-05-25,2025-06-14,Tokyo Timber Group,Pulp High Grade,Napier Port,51.7,0,1,0,22
ORD100146,2024-11-30,2024-12-01,2024-12-09,Tokyo Timber Group,Timber Premium,Auckland Port,49.9,1,1,1,9
ORD100147,2025-01-23,2025-01-30,2025-02-19,NZ Timber Co,Log B22,Napier Port,44.4,0,1,0,27
ORD100148,2024-03-06,2024-03-07,2024-03-18,Shanghai Wood Corp,Log A28,Napier Port,48.7,0,1,0,12
ORD100149,2025-05-30,2025-06-04,2025-06-08,NZ Timber Co,Pulp High Grade,Napier Port,36.3,1,1,1,9
ORD100150,2024-12-26,2024-12-28,2025-01-05,Shanghai Wood Corp,Timber Standard,Napier Port,63.8,1,1,1,10
ORD100151,2025-04-03,2025-04-06,2025-04-09,Tokyo Timber Group,Log B22,Auckland Port,48.5,1,1,1,6
ORD100152,2025-03-07,2025-03-14,2025-03-19,Saigon Builders,Log A28,Auckland Port,37.1,1,1,1,12
ORD100153,2025-03-01,2025-03-07,2025-03-12,NZ Timber Co,Timber Standard,Auckland Port,59.1,1,1,1,11
ORD100154,2024-07-11,2024-07-18,2024-08-01,Shanghai Wood Corp,Pulp Low Grade,Napier Port,50.0,0,1,0,21
ORD100155,2025-09-19,2025-09-22,2025-10-12,Saigon Builders,Timber Standard,Auckland Port,59.6,0,1,0,23
ORD100156,2025-07-07,2025-07-08,2025-07-13,NZ Timber Co,Timber Standard,Napier Port,50.3,1,1,1,6
ORD100157,2024-10-09,2024-10-13,2024-11-01,Saigon Builders,Timber Standard,Napier Port,45.6,0,1,0,23
ORD100158,2025-03-24,2025-03-31,2025-04-20,Tokyo Timber Group,Pulp Low Grade,Auckland Port,39.2,0,1,0,27
ORD100159,2024-04-30,2024-05-06,2024-05-09,HB Lumber Ltd,Timber Premium,Napier Port,63.3,1,1,1,9
ORD100160,2025-08-11,2025-08-17,2025-09-04,HB Lumber Ltd,Pulp High Grade,Napier Port,46.4,0,1,0,24
ORD100161,2025-11-25,2025-12-02,2025-12-19,HB Lumber Ltd,Pulp High Grade,Napier Port,57.6,0,1,0,24
ORD100162,2024-09-27,2024-09-30,2024-10-17,Shanghai Wood Corp,Pulp Low Grade,Napier Port,45.4,0,1,0,20
ORD100163,2025-09-24,2025-09-27,2025-10-04,Tokyo Timber Group,Log A28,Auckland Port,41.7,1,1,1,10
ORD100164,2024-08-03,2024-08-06,2024-08-14,HB Lumber Ltd,Pulp Low Grade,Napier Port,43.5,1,0,0,11
ORD100165,2024-03-26,2024-03-31,2024-04-04,Saigon Builders,Timber Standard,Auckland Port,43.5,1,1,1,9
ORD100166,2024-02-02,2024-02-07,2024-02-17,Shanghai Wood Corp,Log A28,Napier Port,41.7,1,1,1,15
ORD100167,2025-10-14,2025-10-16,2025-10-21,Shanghai Wood Corp,Log B22,Auckland Port,41.4,1,1,1,7
ORD100168,2025-04-27,2025-05-04,2025-05-23,HB Lumber Ltd,Timber Standard,Napier Port,47.2,0,1,0,26
ORD100169,2025-01-12,2025-01-17,2025-01-20,Tokyo Timber Group,Log B22,Auckland Port,45.8,1,1,1,8
ORD100170,2024-09-14,2024-09-18,2024-10-05,NZ Timber Co,Pulp Low Grade,Napier Port,38.3,0,1,0,21
ORD100171,2025-07-18,2025-07-20,2025-07-30,Saigon Builders,Log B22,Auckland Port,67.2,1,1,1,12
ORD100172,2025-05-11,2025-05-15,2025-05-22,Shanghai Wood Corp,Log A28,Napier Port,45.5,1,1,1,11
ORD100173,2025-03-02,2025-03-08,2025-03-17,HB Lumber Ltd,Pulp Low Grade,Auckland Port,44.3,1,1,1,15
ORD100174,2024-05-19,2024-05-26,2024-06-02,HB Lumber Ltd,Timber Standard,Auckland Port,53.8,1,1,1,14
ORD100175,2025-08-21,2025-08-26,2025-09-08,NZ Timber Co,Timber Standard,Napier Port,61.2,0,1,0,18
ORD100176,2024-01-07,2024-01-10,2024-01-21,Tokyo Timber Group,Log B22,Napier Port,64.5,0,0,0,14
ORD100177,2024-10-27,2024-10-28,2024-11-11,Saigon Builders,Pulp High Grade,Auckland Port,55.1,0,1,0,15
ORD100178,2025-02-21,2025-02-22,2025-03-12,HB Lumber Ltd,Timber Standard,Napier Port,52.3,0,1,0,19
ORD100179,2024-12-24,2024-12-26,2025-01-09,NZ Timber Co,Pulp Low Grade,Auckland Port,35.5,0,1,0,16
ORD100180,2025-02-22,2025-02-26,2025-03-02,Shanghai Wood Corp,Log A28,Auckland Port,56.5,1,1,1,8
ORD100181,2024-04-14,2024-04-16,2024-05-01,NZ Timber Co,Timber Premium,Auckland Port,42.7,0,1,0,17
ORD100182,2024-06-27,2024-06-30,2024-07-12,Shanghai Wood Corp,Timber Standard,Auckland Port,68.1,0,1,0,15
ORD100183,2024-04-22,2024-04-26,2024-05-05,Saigon Builders,Timber Standard,Auckland Port,32.8,1,1,1,13
ORD100184,2024-04-06,2024-04-09,2024-04-20,Shanghai Wood Corp,Pulp Low Grade,Napier Port,48.4,0,1,0,14
ORD100185,2024-03-14,2024-03-19,2024-03-26,Tokyo Timber Group,Log B22,Auckland Port,44.4,1,1,1,12
ORD100186,2024-11-14,2024-11-15,2024-12-03,Saigon Builders,Log B22,Napier Port,48.4,0,1,0,19
ORD100187,2024-10-01,2024-10-05,2024-10-23,Tokyo Timber Group,Log A28,Napier Port,59.1,0,1,0,22
ORD100188,2024-01-18,2024-01-20,2024-01-27,Tokyo Timber Group,Pulp Low Grade,Auckland Port,67.6,1,1,1,9
ORD100189,2024-09-16,2024-09-19,2024-09-25,Tokyo Timber Group,Log A28,Auckland Port,51.8,1,1,1,9
ORD100190,2024-05-12,2024-05-17,2024-05-23,Saigon Builders,Log A28,Napier Port,46.4,1,1,1,11
ORD100191,2025-05-19,2025-05-24,2025-05-28,Saigon Builders,Timber Premium,Auckland Port,59.3,1,1,1,9
ORD100192,2025-01-25,2025-01-27,2025-02-10,Tokyo Timber Group,Pulp High Grade,Napier Port,43.6,0,1,0,16
ORD100193,2025-05-14,2025-05-15,2025-06-03,NZ Timber Co,Log B22,Auckland Port,51.0,0,1,0,20
ORD100194,2024-01-20,2024-01-27,2024-01-30,NZ Timber Co,Timber Premium,Napier Port,60.6,1,1,1,10
ORD100195,2024-03-16,2024-03-19,2024-03-23,NZ Timber Co,Timber Standard,Auckland Port,50.0,1,1,1,7
ORD100196,2024-05-01,2024-05-04,2024-05-20,Saigon Builders,Log B22,Napier Port,43.3,0,1,0,19
ORD100197,2025-04-22,2025-04-23,2025-05-12,Saigon Builders,Log A28,Napier Port,54.9,0,1,0,20
ORD100198,2024-03-13,2024-03-19,2024-03-30,HB Lumber Ltd,Pulp Low Grade,Auckland Port,57.3,0,1,0,17
ORD100199,2025-10-04,2025-10-11,2025-10-27,Tokyo Timber Group,Log B22,Auckland Port,54.1,0,1,0,23
ORD100200,2024-12-18,2024-12-24,2025-01-07,Tokyo Timber Group,Log B22,Napier Port,48.8,0,1,0,20
ORD100201,2024-02-03,2024-02-04,2024-02-16,HB Lumber Ltd,Log A28,Auckland Port,51.7,0,1,0,13
ORD100202,2025-04-12,2025-04-17,2025-05-02,NZ Timber Co,Timber Premium,Napier Port,47.8,0,1,0,20
ORD100203,2025-10-04,2025-10-10,2025-10-28,Saigon Builders,Log A28,Napier Port,64.6,0,0,0,24
ORD100204,2025-09-22,2025-09-23,2025-10-08,NZ Timber Co,Log A28,Auckland Port,39.7,0,1,0,16
ORD100205,2024-03-19,2024-03-26,2024-04-06,Saigon Builders,Timber Standard,Auckland Port,47.9,0,1,0,18
ORD100206,2024-12-04,2024-12-09,2024-12-23,Shanghai Wood Corp,Pulp High Grade,Auckland Port,31.5,0,1,0,19
ORD100207,2024-07-02,2024-07-04,2024-07-18,Shanghai Wood Corp,Pulp High Grade,Auckland Port,50.9,0,1,0,16
ORD100208,2025-07-09,2025-07-15,2025-08-03,NZ Timber Co,Log A28,Napier Port,61.3,0,1,0,25
ORD100209,2025-09-17,2025-09-18,2025-09-30,Saigon Builders,Log B22,Auckland Port,46.8,0,1,0,13
ORD100210,2024-12-12,2024-12-15,2024-12-23,NZ Timber Co,Timber Premium,Napier Port,57.9,1,1,1,11
ORD100211,2024-06-18,2024-06-19,2024-06-23,Shanghai Wood Corp,Pulp Low Grade,Auckland Port,55.3,1,1,1,5
ORD100212,2025-09-20,2025-09-22,2025-09-28,Shanghai Wood Corp,Log A28,Auckland Port,47.8,1,1,1,8
ORD100213,2025-08-10,2025-08-11,2025-08-25,Shanghai Wood Corp,Pulp Low Grade,Auckland Port,43.8,0,1,0,15
ORD100214,2025-07-25,2025-07-26,2025-08-01,Shanghai Wood Corp,Pulp Low Grade,Auckland Port,47.1,1,0,0,7
ORD100215,2025-07-19,2025-07-20,2025-08-01,HB Lumber Ltd,Timber Premium,Auckland Port,55.9,0,1,0,13
ORD100216,2025-02-14,2025-02-18,2025-03-02,HB Lumber Ltd,Log B22,Napier Port,52.8,0,1,0,16
ORD100217,2025-08-29,2025-09-02,2025-09-09,Tokyo Timber Group,Pulp Low Grade,Napier Port,49.7,1,1,1,11
ORD100218,2025-05-28,2025-05-30,2025-06-16,Tokyo Timber Group,Log B22,Napier Port,40.2,0,1,0,19
ORD100219,2025-04-12,2025-04-14,2025-04-26,Saigon Builders,Log A28,Napier Port,70.3,0,1,0,14
ORD100220,2024-03-01,2024-03-04,2024-03-18,NZ Timber Co,Pulp Low Grade,Auckland Port,67.2,0,1,0,17
ORD100221,2025-03-18,2025-03-21,2025-03-29,Shanghai Wood Corp,Timber Standard,Napier Port,38.8,1,1,1,11
