date,month,year,site_name,product_name,input_volume_m3,output_volume_m3,downtime_hours,energy_kwh,yield_pct
2024-03-16,3,2024,Mill A,Log A28,511.2,434.5,1.21,664.18,0.849960876369327
2024-03-17,3,2024,Mill A,Log A28,521.2,443.0,1.01,711.73,0.8499616270145817
2024-03-18,3,2024,Mill A,Log A28,592.4,503.5,1.21,722.51,0.849932478055368
2024-03-19,3,2024,Mill A,Log A28,669.4,569.0,2.08,807.55,0.8500149387511204
2024-03-20,3,2024,Mill A,Log A28,584.9,497.2,1.26,751.81,0.8500598392887673
2024-03-21,3,2024,Mill A,Log A28,581.4,494.2,1.64,745.92,0.8500171998624011
2024-03-22,3,2024,Mill A,Log A28,715.3,608.0,0.6,922.68,0.8499930099259053
2024-03-23,3,2024,Mill A,Log A28,522.3,443.9,0.18,668.38,0.8498946965345587
2024-03-24,3,2024,Mill A,Log A28,580.0,493.0,0.7,700.69,0.85
2024-03-25,3,2024,Mill A,Log A28,694.3,590.1,0.89,786.89,0.8499207835229728
2024-03-26,3,2024,Mill A,Log A28,564.0,479.4,0.71,747.74,0.85
2024-03-27,3,2024,Mill A,Log A28,598.8,509.0,1.32,761.3,0.8500334001336006
2024-03-28,3,2024,Mill A,Log A28,618.0,525.3,1.99,763.06,0.85
2024-03-29,3,2024,Mill A,Log A28,611.5,519.8,0.62,848.65,0.8500408830744072
2024-03-30,3,2024,Mill A,Log A28,666.8,566.8,1.72,797.44,0.8500299940011997
2024-03-31,3,2024,Mill A,Log A28,706.1,600.2,0.16,818.96,0.8500212434499363
2024-04-01,4,2024,Mill A,Log A28,575.5,489.2,1.62,759.36,0.8500434404865335
2024-04-02,4,2024,Mill A,Log A28,528.7,449.4,1.25,780.66,0.8500094571590693
2024-04-03,4,2024,Mill A,Log A28,655.3,557.0,1.3,830.92,0.849992369906913
2024-04-04,4,2024,Mill A,Log A28,553.9,470.8,1.05,669.21,0.8499729192995126
2024-04-05,4,2024,Mill A,Log A28,681.0,578.8,1.35,817.96,0.8499265785609398
2024-04-06,4,2024,Mill A,Log A28,639.4,543.5,0.9,803.46,0.8500156396621833
2024-04-07,4,2024,Mill A,Log A28,592.0,503.2,0.08,766.02,0.85
2024-04-08,4,2024,Mill A,Log A28,686.9,583.9,0.65,960.75,0.85005095355947
2024-04-09,4,2024,Mill A,Log A28,525.9,447.0,0.61,689.43,0.8499714774671991
2024-04-10,4,2024,Mill A,Log A28,589.5,501.1,0.75,662.08,0.8500424088210348
2024-04-11,4,2024,Mill A,Log A28,553.5,470.5,0.5,684.21,0.8500451671183379
2024-04-12,4,2024,Mill A,Log A28,518.2,440.5,1.1,639.8,0.850057892705519
2024-04-13,4,2024,Mill A,Log A28,667.5,567.4,0.69,825.22,0.8500374531835205
2024-04-14,4,2024,Mill A,Log A28,556.1,472.6,1.23,707.66,0.8498471497932026
2024-04-15,4,2024,Mill A,Log A28,618.6,525.8,0.67,775.08,0.8499838344649207
2024-04-16,4,2024,Mill A,Log A28,568.2,483.0,1.42,800.79,0.850052798310454
2024-04-17,4,2024,Mill A,Log A28,640.7,544.6,0.23,840.46,0.8500078039644139
2024-04-18,4,2024,Mill A,Log A28,656.6,558.1,1.55,861.2,0.8499847700274139
2024-04-19,4,2024,Mill A,Log A28,545.1,463.3,1.68,763.61,0.8499357915978719
2024-04-20,4,2024,Mill A,Log A28,658.8,560.0,0.87,809.7,0.8500303582270796
2024-04-21,4,2024,Mill A,Log A28,587.5,499.3,1.1,765.05,0.849872340425532
2024-04-22,4,2024,Mill A,Log A28,600.6,510.5,0.74,807.81,0.8499833499833499
2024-04-23,4,2024,Mill A,Log A28,619.4,526.5,0.71,832.12,0.8500161446561189
2024-04-24,4,2024,Mill A,Log A28,550.0,467.5,0.32,745.17,0.85
2024-04-25,4,2024,Mill A,Log A28,405.5,344.7,0.57,466.23,0.8500616522811344
2024-04-26,4,2024,Mill A,Log A28,638.6,542.8,1.35,785.34,0.8499843407453804
2024-04-27,4,2024,Mill A,Log A28,621.9,528.6,1.28,657.79,0.8499758803666185
2024-04-28,4,2024,Mill A,Log A28,691.0,587.3,1.27,901.95,0.8499276410998552
2024-04-29,4,2024,Mill A,Log A28,573.5,487.5,1.21,752.22,0.8500435919790759
2024-04-30,4,2024,Mill A,Log A28,601.6,511.4,1.33,736.93,0.850066489361702
2024-05-01,5,2024,Mill A,Log A28,568.4,483.1,1.44,671.77,0.8499296270232232
2024-05-02,5,2024,Mill A,Log A28,543.9,462.3,1.44,651.37,0.8499724214009929
2024-05-03,5,2024,Mill A,Log A28,580.3,493.3,0.71,763.26,0.8500775460968465
2024-05-04,5,2024,Mill A,Log A28,561.8,477.6,1.75,599.48,0.8501245995016021
2024-05-05,5,2024,Mill A,Log A28,532.2,452.4,0.62,703.69,0.8500563697857947
2024-05-06,5,2024,Mill A,Log A28,612.5,520.6,0.0,606.49,0.8499591836734695
2024-05-07,5,2024,Mill A,Log A28,548.6,466.3,1.28,708.36,0.8499817717827196
2024-05-08,5,2024,Mill A,Log A28,672.3,571.4,0.39,853.96,0.8499181912836532
2024-05-09,5,2024,Mill A,Log A28,630.4,535.8,1.39,808.79,0.8499365482233502
2024-05-10,5,2024,Mill A,Log A28,577.0,490.4,0.55,650.38,0.8499133448873483
2024-05-11,5,2024,Mill A,Log A28,654.2,556.1,0.57,741.83,0.8500458575359218
2024-05-12,5,2024,Mill A,Log A28,676.0,574.6,0.66,850.15,0.8500000000000001
2024-05-13,5,2024,Mill A,Log A28,548.2,466.0,1.46,644.85,0.8500547245530827
2024-05-14,5,2024,Mill A,Log A28,604.9,514.2,0.0,656.76,0.8500578608034387
2024-05-15,5,2024,Mill A,Log A28,591.8,503.1,0.54,728.89,0.8501182832037851
2024-05-16,5,2024,Mill A,Log A28,626.0,532.1,1.4,738.06,0.8500000000000001
2024-05-17,5,2024,Mill A,Log A28,530.5,450.9,1.21,584.31,0.8499528746465598
2024-05-18,5,2024,Mill A,Log A28,623.5,530.0,0.66,807.25,0.8500400962309543
2024-05-19,5,2024,Mill A,Log A28,556.5,473.0,1.36,757.88,0.8499550763701708
2024-05-20,5,2024,Mill A,Log A28,478.4,406.7,0.96,577.61,0.8501254180602007
2024-05-21,5,2024,Mill A,Log A28,549.4,467.0,1.03,713.57,0.8500182016745541
2024-05-22,5,2024,Mill A,Log A28,590.2,501.7,1.02,696.9,0.8500508302270416
2024-05-23,5,2024,Mill A,Log A28,605.7,514.8,0.21,806.94,0.8499257057949479
2024-05-24,5,2024,Mill A,Log A28,659.7,560.7,0.82,814.17,0.849931787175989
2024-05-25,5,2024,Mill A,Log A28,721.3,613.1,0.59,816.18,0.8499930680715376
2024-05-26,5,2024,Mill A,Log A28,689.0,585.6,1.61,868.55,0.8499274310595065
2024-05-27,5,2024,Mill A,Log A28,571.8,486.0,0.84,749.28,0.8499475341028332
2024-05-28,5,2024,Mill A,Log A28,596.0,506.6,0.56,716.82,0.8500000000000001
2024-05-29,5,2024,Mill A,Log A28,557.7,474.0,0.46,716.29,0.8499193114577729
2024-05-30,5,2024,Mill A,Log A28,655.8,557.4,0.03,890.65,0.8499542543458372
2024-05-31,5,2024,Mill A,Log A28,508.9,432.6,1.57,628.91,0.8500687757909217
2024-06-01,6,2024,Mill A,Log A28,559.7,475.7,0.77,747.36,0.8499195997855994
2024-06-02,6,2024,Mill A,Log A28,365.4,310.6,1.37,430.08,0.8500273672687467
2024-06-03,6,2024,Mill A,Log A28,426.3,362.3,1.86,579.04,0.849870982875909
2024-06-04,6,2024,Mill A,Log A28,417.0,354.4,1.42,583.73,0.8498800959232613
2024-06-05,6,2024,Mill A,Log A28,454.0,385.9,0.92,527.84,0.85
2024-06-06,6,2024,Mill A,Log A28,409.4,348.0,0.59,498.19,0.8500244259892527
2024-06-07,6,2024,Mill A,Log A28,524.1,445.5,1.04,697.5,0.8500286204922725
2024-06-08,6,2024,Mill A,Log A28,417.9,355.2,2.08,590.67,0.8499641062455133
2024-06-09,6,2024,Mill A,Log A28,355.3,302.0,1.45,463.84,0.8499859273853082
2024-06-10,6,2024,Mill A,Log A28,377.2,320.6,1.21,482.64,0.849946977730647
2024-06-11,6,2024,Mill A,Log A28,411.7,349.9,0.92,494.83,0.8498906971095458
2024-06-12,6,2024,Mill A,Log A28,450.9,383.3,1.08,547.41,0.8500776225327125
2024-06-13,6,2024,Mill A,Log A28,393.7,334.7,1.07,507.28,0.8501397002794006
2024-06-14,6,2024,Mill A,Log A28,439.9,374.0,1.62,576.59,0.8501932257331212
2024-06-15,6,2024,Mill A,Log A28,411.3,349.6,0.92,524.48,0.849987843423292
2024-06-16,6,2024,Mill A,Log A28,512.1,435.3,0.62,655.19,0.8500292911540714
2024-06-17,6,2024,Mill A,Log A28,436.3,370.8,2.27,523.8,0.8498739399495759
2024-06-18,6,2024,Mill A,Log A28,345.6,293.8,0.31,420.82,0.8501157407407407
2024-06-19,6,2024,Mill A,Log A28,464.1,394.5,0.14,546.71,0.8500323206205559
2024-06-20,6,2024,Mill A,Log A28,495.3,421.0,1.3,612.88,0.8499899051080153
2024-06-21,6,2024,Mill A,Log A28,541.2,460.0,1.33,595.49,0.8499630450849962
2024-06-22,6,2024,Mill A,Log A28,426.9,362.8,2.13,511.01,0.8498477395174515
2024-06-23,6,2024,Mill A,Log A28,411.2,349.5,0.17,524.67,0.8499513618677043
2024-06-24,6,2024,Mill A,Log A28,540.7,459.6,1.27,578.08,0.8500092472720547
2024-06-25,6,2024,Mill A,Log A28,401.7,341.4,1.22,515.5,0.8498879761015683
2024-06-26,6,2024,Mill A,Log A28,430.3,365.8,1.26,537.36,0.850104578201255
2024-06-27,6,2024,Mill A,Log A28,427.5,363.4,0.66,600.38,0.8500584795321637
2024-06-28,6,2024,Mill A,Log A28,522.6,444.2,0.84,623.57,0.849980864906238
2024-06-29,6,2024,Mill A,Log A28,483.2,410.7,1.17,583.22,0.8499586092715232
2024-06-30,6,2024,Mill A,Log A28,385.1,327.3,0.95,516.94,0.8499091145157102
2024-07-01,7,2024,Mill A,Log A28,487.7,414.5,0.44,608.69,0.8499077301619848
2024-07-02,7,2024,Mill A,Log A28,399.8,339.8,1.17,550.5,0.8499249624812406
2024-07-03,7,2024,Mill A,Log A28,437.9,372.2,0.51,564.78,0.8499657456040192
2024-07-04,7,2024,Mill A,Log A28,350.8,298.2,1.1,439.84,0.8500570125427593
2024-07-05,7,2024,Mill A,Log A28,440.3,374.2,0.0,596.9,0.8498750851692027
2024-07-06,7,2024,Mill A,Log A28,479.3,407.4,0.61,635.71,0.8499895681201752
2024-07-07,7,2024,Mill A,Log A28,391.6,332.9,1.36,481.39,0.8501021450459652
2024-07-08,7,2024,Mill A,Log A28,368.3,313.1,1.45,484.38,0.8501221830029867
2024-07-09,7,2024,Mill A,Log A28,373.4,317.4,1.3,509.01,0.8500267809319765
2024-07-10,7,2024,Mill A,Log A28,358.4,304.7,0.68,503.34,0.8501674107142857
2024-07-11,7,2024,Mill A,Log A28,416.5,354.0,1.75,562.33,0.8499399759903962
2024-07-12,7,2024,Mill A,Log A28,534.1,453.9,1.5,646.93,0.8498408537727017
2024-07-13,7,2024,Mill A,Log A28,405.3,344.5,1.07,563.39,0.849987663459166
2024-07-14,7,2024,Mill A,Log A28,448.2,380.9,0.8,558.98,0.8498438197233378
2024-07-15,7,2024,Mill A,Log A28,379.7,322.7,1.85,487.56,0.8498814853831973
2024-07-16,7,2024,Mill A,Log A28,436.9,371.4,0.92,527.39,0.8500801098649576
2024-07-17,7,2024,Mill A,Log A28,429.9,365.4,0.85,552.87,0.8499651081646895
2024-07-18,7,2024,Mill A,Log A28,342.6,291.2,1.54,464.99,0.8499708114419147
2024-07-19,7,2024,Mill A,Log A28,371.6,315.9,0.0,495.6,0.85010764262648
2024-07-20,7,2024,Mill A,Log A28,357.0,303.5,0.0,418.27,0.8501400560224089
2024-07-21,7,2024,Mill A,Log A28,416.6,354.1,1.35,597.94,0.8499759961593855
2024-07-22,7,2024,Mill A,Log A28,461.7,392.4,1.3,629.75,0.8499025341130604
2024-07-23,7,2024,Mill A,Log A28,383.4,325.9,1.51,502.97,0.8500260824204486
2024-07-24,7,2024,Mill A,Log A28,466.2,396.2,0.72,693.57,0.8498498498498498
2024-07-25,7,2024,Mill A,Log A28,501.4,426.2,1.34,647.1,0.8500199441563622
2024-07-26,7,2024,Mill A,Log A28,441.1,374.9,1.06,529.64,0.8499206529131715
2024-07-27,7,2024,Mill A,Log A28,368.7,313.4,1.22,474.02,0.8500135611608354
2024-07-28,7,2024,Mill A,Log A28,432.4,367.5,0.81,576.01,0.8499074930619797
2024-07-29,7,2024,Mill A,Log A28,410.6,349.0,1.39,474.29,0.84997564539698
2024-07-30,7,2024,Mill A,Log A28,502.4,427.1,1.3,644.19,0.8501194267515925
2024-07-31,7,2024,Mill A,Log A28,471.3,400.6,1.02,623.57,0.8499893910460429
2024-08-01,8,2024,Mill A,Log A28,444.4,377.8,0.68,608.22,0.8501350135013502
2024-08-02,8,2024,Mill A,Log A28,387.0,329.0,1.01,524.37,0.8501291989664083
2024-08-03,8,2024,Mill A,Log A28,430.4,365.8,1.13,513.73,0.8499070631970261
2024-08-04,8,2024,Mill A,Log A28,467.7,397.6,1.08,595.26,0.8501175967500535
2024-08-05,8,2024,Mill A,Log A28,460.0,391.0,1.14,601.67,0.85
2024-08-06,8,2024,Mill A,Log A28,395.9,336.5,0.73,584.96,0.8499621116443546
2024-08-07,8,2024,Mill A,Log A28,390.5,331.9,0.91,512.58,0.8499359795134442
2024-08-08,8,2024,Mill A,Log A28,502.0,426.7,1.07,681.28,0.85
2024-08-09,8,2024,Mill A,Log A28,419.5,356.6,0.89,494.44,0.8500595947556615
2024-08-10,8,2024,Mill A,Log A28,401.2,341.0,0.34,511.61,0.849950149551346
2024-08-11,8,2024,Mill A,Log A28,281.3,239.1,1.11,383.24,0.8499822253821542
2024-08-12,8,2024,Mill A,Log A28,398.8,339.0,0.75,532.8,0.850050150451354
2024-08-13,8,2024,Mill A,Log A28,392.9,334.0,1.19,470.68,0.8500890811911428
2024-08-14,8,2024,Mill A,Log A28,439.0,373.1,0.3,518.38,0.8498861047835992
2024-08-15,8,2024,Mill A,Log A28,387.9,329.7,0.97,439.99,0.8499613302397525
2024-08-16,8,2024,Mill A,Log A28,388.8,330.5,1.58,508.32,0.8500514403292181
2024-08-17,8,2024,Mill A,Log A28,399.3,339.4,1.86,454.72,0.8499874780866515
2024-08-18,8,2024,Mill A,Log A28,339.7,288.7,1.99,391.07,0.8498675301736827
2024-08-19,8,2024,Mill A,Log A28,537.4,456.8,0.19,691.85,0.8500186081131373
2024-08-20,8,2024,Mill A,Log A28,389.2,330.8,1.17,502.58,0.8499486125385407
2024-08-21,8,2024,Mill A,Log A28,393.4,334.4,0.84,503.0,0.8500254194204372
2024-08-22,8,2024,Mill A,Log A28,502.1,426.8,5.52,728.51,0.8500298745269866
2024-08-23,8,2024,Mill A,Log A28,480.9,408.7,1.45,625.86,0.8498648367644001
2024-08-24,8,2024,Mill A,Log A28,480.7,408.6,0.31,603.09,0.8500104014978157
2024-08-25,8,2024,Mill A,Log A28,438.5,372.8,0.45,555.61,0.8501710376282783
2024-08-26,8,2024,Mill A,Log A28,397.6,338.0,1.49,491.45,0.8501006036217303
2024-08-27,8,2024,Mill A,Log A28,400.3,340.3,0.07,511.39,0.8501124156882338
2024-08-28,8,2024,Mill A,Log A28,313.1,266.2,0.15,440.33,0.8502076014053017
2024-08-29,8,2024,Mill A,Log A28,441.6,375.3,0.37,548.47,0.8498641304347826
2024-08-30,8,2024,Mill A,Log A28,463.8,394.2,0.81,638.8,0.8499353169469599
2024-08-31,8,2024,Mill A,Log A28,569.7,484.2,0.97,691.27,0.8499210110584517
2024-09-01,9,2024,Mill A,Log A28,534.0,453.9,0.69,732.35,0.85
2024-09-02,9,2024,Mill A,Log A28,598.2,508.5,0.42,745.01,0.850050150451354
2024-09-03,9,2024,Mill A,Log A28,698.8,594.0,1.26,816.1,0.8500286204922726
2024-09-04,9,2024,Mill A,Log A28,616.2,523.7,1.31,742.87,0.849886400519312
2024-09-05,9,2024,Mill A,Log A28,582.9,495.4,0.95,654.38,0.8498884885915251
2024-09-06,9,2024,Mill A,Log A28,513.7,436.7,0.51,704.01,0.8501070663811562
2024-09-07,9,2024,Mill A,Log A28,562.9,478.5,1.06,731.97,0.8500621780067508
2024-09-08,9,2024,Mill A,Log A28,627.0,532.9,0.91,822.15,0.8499202551834131
2024-09-09,9,2024,Mill A,Log A28,607.4,516.3,1.74,711.55,0.85001646361541
2024-09-10,9,2024,Mill A,Log A28,604.9,514.2,0.97,873.77,0.8500578608034387
2024-09-11,9,2024,Mill A,Log A28,570.2,484.7,0.1,701.13,0.850052613118204
2024-09-12,9,2024,Mill A,Log A28,510.1,433.6,0.37,664.96,0.8500294059988238
2024-09-13,9,2024,Mill A,Log A28,572.1,486.3,0.0,641.28,0.8500262191924488
2024-09-14,9,2024,Mill A,Log A28,550.8,468.2,1.11,712.01,0.8500363108206246
2024-09-15,9,2024,Mill A,Log A28,545.8,463.9,0.33,748.42,0.8499450348112862
2024-09-16,9,2024,Mill A,Log A28,562.8,478.4,1.4,716.36,0.8500355366027008
2024-09-17,9,2024,Mill A,Log A28,559.7,475.7,0.96,745.24,0.8499195997855994
2024-09-18,9,2024,Mill A,Log A28,606.9,515.9,1.36,681.4,0.8500576701268743
2024-09-19,9,2024,Mill A,Log A28,626.3,532.3,0.0,732.9,0.8499121826600671
2024-09-20,9,2024,Mill A,Log A28,652.4,554.6,1.18,801.52,0.8500919681177193
2024-09-21,9,2024,Mill A,Log A28,565.8,480.9,1.17,682.26,0.8499469777306469
2024-09-22,9,2024,Mill A,Log A28,551.1,468.4,0.55,665.03,0.8499364906550535
2024-09-23,9,2024,Mill A,Log A28,539.2,458.3,1.73,631.01,0.8499629080118694
2024-09-24,9,2024,Mill A,Log A28,572.5,486.6,1.27,664.68,0.8499563318777293
2024-09-25,9,2024,Mill A,Log A28,624.0,530.4,1.35,800.94,0.85
2024-09-26,9,2024,Mill A,Log A28,523.8,445.2,1.26,617.92,0.8499427262313861
2024-09-27,9,2024,Mill A,Log A28,678.5,576.7,0.63,794.67,0.8499631540162123
2024-09-28,9,2024,Mill A,Log A28,592.8,503.9,1.43,696.84,0.850033738191633
2024-09-29,9,2024,Mill A,Log A28,711.0,604.4,0.0,978.97,0.850070323488045
2024-09-30,9,2024,Mill A,Log A28,526.5,447.5,1.68,678.88,0.8499525166191833
2024-10-01,10,2024,Mill A,Log A28,603.4,512.9,0.87,762.88,0.8500165727543918
2024-10-02,10,2024,Mill A,Log A28,572.2,486.4,0.1,695.7,0.8500524292205521
2024-10-03,10,2024,Mill A,Log A28,597.2,507.6,0.48,810.41,0.8499665103817816
2024-10-04,10,2024,Mill A,Log A28,622.1,528.8,0.71,802.86,0.850024111879119
2024-10-05,10,2024,Mill A,Log A28,613.3,521.3,1.15,774.01,0.8499918473830099
2024-10-06,10,2024,Mill A,Log A28,536.6,456.1,1.3,661.8,0.8499813641446142
2024-10-07,10,2024,Mill A,Log A28,529.4,450.0,1.33,656.6,0.8500188893086513
2024-10-08,10,2024,Mill A,Log A28,580.9,493.8,7.07,799.93,0.8500602513341368
2024-10-09,10,2024,Mill A,Log A28,560.7,476.6,1.04,769.07,0.8500089174246477
2024-10-10,10,2024,Mill A,Log A28,643.4,546.9,0.75,866.77,0.8500155424308362
2024-10-11,10,2024,Mill A,Log A28,585.8,498.0,0.5,749.36,0.8501194947080916
2024-10-12,10,2024,Mill A,Log A28,615.5,523.2,0.81,847.69,0.8500406173842405
2024-10-13,10,2024,Mill A,Log A28,599.1,509.2,1.0,691.63,0.8499415790352195
2024-10-14,10,2024,Mill A,Log A28,656.6,558.1,0.84,742.51,0.8499847700274139
2024-10-15,10,2024,Mill A,Log A28,527.2,448.1,0.24,666.58,0.8499620637329286
2024-10-16,10,2024,Mill A,Log A28,601.9,511.6,1.08,754.68,0.8499750789167636
2024-10-17,10,2024,Mill A,Log A28,612.7,520.8,0.84,819.38,0.8500081606006201
2024-10-18,10,2024,Mill A,Log A28,584.9,497.1,1.2,735.84,0.8498888698922894
2024-10-19,10,2024,Mill A,Log A28,590.4,501.8,1.33,741.52,0.8499322493224932
2024-10-20,10,2024,Mill A,Log A28,546.8,464.8,1.26,688.02,0.8500365764447697
2024-10-21,10,2024,Mill A,Log A28,566.9,481.9,0.86,731.15,0.8500617392838243
2024-10-22,10,2024,Mill A,Log A28,674.4,573.2,1.78,917.43,0.8499406880189799
2024-10-23,10,2024,Mill A,Log A28,576.0,489.6,1.47,675.94,0.8500000000000001
