date_key,site_key,product_key,input_volume_m3,output_volume_m3,downtime_hours,shift_hours,energy_kwh
20240409,3,1,525.9,447.0,0.61,24,689.43
20240410,3,1,589.5,501.1,0.75,24,662.08
20240411,3,1,553.5,470.5,0.5,24,684.21
20240412,3,1,518.2,440.5,1.1,24,639.8
20240413,3,1,667.5,567.4,0.69,24,825.22
20240414,3,1,556.1,472.6,1.23,24,707.66
20240415,3,1,618.6,525.8,0.67,24,775.08
20240416,3,1,568.2,483.0,1.42,24,800.79
20240417,3,1,640.7,544.6,0.23,24,840.46
20240418,3,1,656.6,558.1,1.55,24,861.2
20240419,3,1,545.1,463.3,1.68,24,763.61
20240420,3,1,658.8,560.0,0.87,24,809.7
20240421,3,1,587.5,499.3,1.1,24,765.05
20240422,3,1,600.6,510.5,0.74,24,807.81
20240423,3,1,619.4,526.5,0.71,24,832.12
20240424,3,1,550.0,467.5,0.32,24,745.17
20240425,3,1,405.5,344.7,0.57,24,466.23
20240426,3,1,638.6,542.8,1.35,24,785.34
20240427,3,1,621.9,528.6,1.28,24,657.79
20240428,3,1,691.0,587.3,1.27,24,901.95
20240429,3,1,573.5,487.5,1.21,24,752.22
20240430,3,1,601.6,511.4,1.33,24,736.93
20240501,3,1,568.4,483.1,1.44,24,671.77
20240502,3,1,543.9,462.3,1.44,24,651.37
20240503,3,1,580.3,493.3,0.71,24,763.26
20240504,3,1,561.8,477.6,1.75,24,599.48
20240505,3,1,532.2,452.4,0.62,24,703.69
20240506,3,1,612.5,520.6,0.0,24,606.49
20240507,3,1,548.6,466.3,1.28,24,708.36
20240508,3,1,672.3,571.4,0.39,24,853.96
20240509,3,1,630.4,535.8,1.39,24,808.79
20240510,3,1,577.0,490.4,0.55,24,650.38
20240511,3,1,654.2,556.1,0.57,24,741.83
20240512,3,1,676.0,574.6,0.66,24,850.15
20240513,3,1,548.2,466.0,1.46,24,644.85
20240514,3,1,604.9,514.2,0.0,24,656.76
20240515,3,1,591.8,503.1,0.54,24,728.89
20240516,3,1,626.0,532.1,1.4,24,738.06
20240517,3,1,530.5,450.9,1.21,24,584.31
20240518,3,1,623.5,530.0,0.66,24,807.25
20240519,3,1,556.5,473.0,1.36,24,757.88
20240520,3,1,478.4,406.7,0.96,24,577.61
20240521,3,1,549.4,467.0,1.03,24,713.57
20240522,3,1,590.2,501.7,1.02,24,696.9
20240523,3,1,605.7,514.8,0.21,24,806.94
20240524,3,1,659.7,560.7,0.82,24,814.17
20240525,3,1,721.3,613.1,0.59,24,816.18
20240526,3,1,689.0,585.6,1.61,24,868.55
20240527,3,1,571.8,486.0,0.84,24,749.28
20240528,3,1,596.0,506.6,0.56,24,716.82
20240529,3,1,557.7,474.0,0.46,24,716.29
20240530,3,1,655.8,557.4,0.03,24,890.65
20240531,3,1,508.9,432.6,1.57,24,628.91
20240601,3,1,559.7,475.7,0.77,24,747.36
20240602,3,1,365.4,310.6,1.37,24,430.08
20240603,3,1,426.3,362.3,1.86,24,579.04
20240604,3,1,417.0,354.4,1.42,24,583.73
20240605,3,1,454.0,385.9,0.92,24,527.84
20240606,3,1,409.4,348.0,0.59,24,498.19
20240607,3,1,524.1,445.5,1.04,24,697.5
20240608,3,1,417.9,355.2,2.08,24,590.67
20240609,3,1,355.3,302.0,1.45,24,463.84
20240610,3,1,377.2,320.6,1.21,24,482.64
20240611,3,1,411.7,349.9,0.92,24,494.83
20240612,3,1,450.9,383.3,1.08,24,547.41
20240613,3,1,393.7,334.7,1.07,24,507.28
20240614,3,1,439.9,374.0,1.62,24,576.59
20240615,3,1,411.3,349.6,0.92,24,524.48
20240616,3,1,512.1,435.3,0.62,24,655.19
20240617,3,1,436.3,370.8,2.27,24,523.8
20240618,3,1,345.6,293.8,0.31,24,420.82
20240619,3,1,464.1,394.5,0.14,24,546.71
20240620,3,1,495.3,421.0,1.3,24,612.88
20240621,3,1,541.2,460.0,1.33,24,595.49
20240622,3,1,426.9,362.8,2.13,24,511.01
20240623,3,1,411.2,349.5,0.17,24,524.67
20240624,3,1,540.7,459.6,1.27,24,578.08
20240625,3,1,401.7,341.4,1.22,24,515.5
20240626,3,1,430.3,365.8,1.26,24,537.36
20240627,3,1,427.5,363.4,0.66,24,600.38
20240628,3,1,522.6,444.2,0.84,24,623.57
20240629,3,1,483.2,410.7,1.17,24,583.22
20240630,3,1,385.1,327.3,0.95,24,516.94
20240701,3,1,487.7,414.5,0.44,24,608.69
20240702,3,1,399.8,339.8,1.17,24,550.5
20240703,3,1,437.9,372.2,0.51,24,564.78
20240704,3,1,350.8,298.2,1.1,24,439.84
20240705,3,1,440.3,374.2,0.0,24,596.9
20240706,3,1,479.3,407.4,0.61,24,635.71
20240707,3,1,391.6,332.9,1.36,24,481.39
20240708,3,1,368.3,313.1,1.45,24,484.38
20240709,3,1,373.4,317.4,1.3,24,509.01
20240710,3,1,358.4,304.7,0.68,24,503.34
20240711,3,1,416.5,354.0,1.75,24,562.33
20240712,3,1,534.1,453.9,1.5,24,646.93
20240713,3,1,405.3,344.5,1.07,24,563.39
20240714,3,1,448.2,380.9,0.8,24,558.98
20240715,3,1,379.7,322.7,1.85,24,487.56
20240716,3,1,436.9,371.4,0.92,24,527.39
20240717,3,1,429.9,365.4,0.85,24,552.87
20240718,3,1,342.6,291.2,1.54,24,464.99
20240719,3,1,371.6,315.9,0.0,24,495.6
20240720,3,1,357.0,303.5,0.0,24,418.27
20240721,3,1,416.6,354.1,1.35,24,597.94
20240722,3,1,461.7,392.4,1.3,24,629.75
20240723,3,1,383.4,325.9,1.51,24,502.97
20240724,3,1,466.2,396.2,0.72,24,693.57
20240725,3,1,501.4,426.2,1.34,24,647.1
20240726,3,1,441.1,374.9,1.06,24,529.64
20240727,3,1,368.7,313.4,1.22,24,474.02
20240728,3,1,432.4,367.5,0.81,24,576.01
20240729,3,1,410.6,349.0,1.39,24,474.29
20240730,3,1,502.4,427.1,1.3,24,644.19
20240731,3,1,471.3,400.6,1.02,24,623.57
20240801,3,1,444.4,377.8,0.68,24,608.22
20240802,3,1,387.0,329.0,1.01,24,524.37
20240803,3,1,430.4,365.8,1.13,24,513.73
20240804,3,1,467.7,397.6,1.08,24,595.26
20240805,3,1,460.0,391.0,1.14,24,601.67
20240806,3,1,395.9,336.5,0.73,24,584.96
20240807,3,1,390.5,331.9,0.91,24,512.58
20240808,3,1,502.0,426.7,1.07,24,681.28
20240809,3,1,419.5,356.6,0.89,24,494.44
20240810,3,1,401.2,341.0,0.34,24,511.61
20240811,3,1,281.3,239.1,1.11,24,383.24
20240812,3,1,398.8,339.0,0.75,24,532.8
20240813,3,1,392.9,334.0,1.19,24,470.68
20240814,3,1,439.0,373.1,0.3,24,518.38
20240815,3,1,387.9,329.7,0.97,24,439.99
20240816,3,1,388.8,330.5,1.58,24,508.32
20240817,3,1,399.3,339.4,1.86,24,454.72
20240818,3,1,339.7,288.7,1.99,24,391.07
20240819,3,1,537.4,456.8,0.19,24,691.85
20240820,3,1,389.2,330.8,1.17,24,502.58
20240821,3,1,393.4,334.4,0.84,24,503.0
20240822,3,1,502.1,426.8,5.52,24,728.51
20240823,3,1,480.9,408.7,1.45,24,625.86
20240824,3,1,480.7,408.6,0.31,24,603.09
20240825,3,1,438.5,372.8,0.45,24,555.61
20240826,3,1,397.6,338.0,1.49,24,491.45
20240827,3,1,400.3,340.3,0.07,24,511.39
20240828,3,1,313.1,266.2,0.15,24,440.33
20240829,3,1,441.6,375.3,0.37,24,548.47
20240830,3,1,463.8,394.2,0.81,24,638.8
20240831,3,1,569.7,484.2,0.97,24,691.27
20240901,3,1,534.0,453.9,0.69,24,732.35
20240902,3,1,598.2,508.5,0.42,24,745.01
20240903,3,1,698.8,594.0,1.26,24,816.1
20240904,3,1,616.2,523.7,1.31,24,742.87
20240905,3,1,582.9,495.4,0.95,24,654.38
20240906,3,1,513.7,436.7,0.51,24,704.01
20240907,3,1,562.9,478.5,1.06,24,731.97
20240908,3,1,627.0,532.9,0.91,24,822.15
20240909,3,1,607.4,516.3,1.74,24,711.55
20240910,3,1,604.9,514.2,0.97,24,873.77
20240911,3,1,570.2,484.7,0.1,24,701.13
20240912,3,1,510.1,433.6,0.37,24,664.96
20240913,3,1,572.1,486.3,0.0,24,641.28
20240914,3,1,550.8,468.2,1.11,24,712.01
20240915,3,1,545.8,463.9,0.33,24,748.42
20240916,3,1,562.8,478.4,1.4,24,716.36
20240917,3,1,559.7,475.7,0.96,24,745.24
20240918,3,1,606.9,515.9,1.36,24,681.4
20240919,3,1,626.3,532.3,0.0,24,732.9
20240920,3,1,652.4,554.6,1.18,24,801.52
20240921,3,1,565.8,480.9,1.17,24,682.26
20240922,3,1,551.1,468.4,0.55,24,665.03
20240923,3,1,539.2,458.3,1.73,24,631.01
20240924,3,1,572.5,486.6,1.27,24,664.68
20240925,3,1,624.0,530.4,1.35,24,800.94
20240926,3,1,523.8,445.2,1.26,24,617.92
20240927,3,1,678.5,576.7,0.63,24,794.67
20240928,3,1,592.8,503.9,1.43,24,696.84
20240929,3,1,711.0,604.4,0.0,24,978.97
20240930,3,1,526.5,447.5,1.68,24,678.88
20241001,3,1,603.4,512.9,0.87,24,762.88
20241002,3,1,572.2,486.4,0.1,24,695.7
20241003,3,1,597.2,507.6,0.48,24,810.41
20241004,3,1,622.1,528.8,0.71,24,802.86
20241005,3,1,613.3,521.3,1.15,24,774.01
20241006,3,1,536.6,456.1,1.3,24,661.8
20241007,3,1,529.4,450.0,1.33,24,656.6
20241008,3,1,580.9,493.8,7.07,24,799.93
20241009,3,1,560.7,476.6,1.04,24,769.07
20241010,3,1,643.4,546.9,0.75,24,866.77
20241011,3,1,585.8,498.0,0.5,24,749.36
20241012,3,1,615.5,523.2,0.81,24,847.69
20241013,3,1,599.1,509.2,1.0,24,691.63
20241014,3,1,656.6,558.1,0.84,24,742.51
20241015,3,1,527.2,448.1,0.24,24,666.58
20241016,3,1,601.9,511.6,1.08,24,754.68
20241017,3,1,612.7,520.8,0.84,24,819.38
20241018,3,1,584.9,497.1,1.2,24,735.84
20241019,3,1,590.4,501.8,1.33,24,741.52
20241020,3,1,546.8,464.8,1.26,24,688.02
20241021,3,1,566.9,481.9,0.86,24,731.15
20241022,3,1,674.4,573.2,1.78,24,917.43
20241023,3,1,576.0,489.6,1.47,24,675.94
20241024,3,1,523.7,445.2,0.32,24,735.47
20241025,3,1,619.1,526.2,0.77,24,738.47
20241026,3,1,583.7,496.1,1.02,24,786.94
20241027,3,1,622.9,529.5,1.44,24,866.2
20241028,3,1,551.2,468.5,0.35,24,750.39
20241029,3,1,491.3,417.6,1.7,24,638.26
20241030,3,1,659.0,560.2,0.87,24,874.02
20241031,3,1,635.5,540.1,0.42,24,921.75
20241101,3,1,570.6,485.0,1.22,24,695.55
20241102,3,1,569.4,484.0,0.27,24,659.43
20241103,3,1,614.6,522.4,1.56,24,751.91
20241104,3,1,599.9,509.9,0.27,24,698.06
20241105,3,1,551.2,468.5,1.46,24,641.29
20241106,3,1,620.7,527.6,0.89,24,767.06
20241107,3,1,622.2,528.9,0.94,24,743.7
20241108,3,1,539.6,458.7,0.98,24,643.33
20241109,3,1,645.1,548.4,0.56,24,849.26
20241110,3,1,619.7,526.7,0.89,24,780.6
20241111,3,1,552.2,469.4,0.97,24,673.75
20241112,3,1,617.0,524.4,0.0,24,700.09
20241113,3,1,568.9,483.6,0.8,24,719.04
20241114,3,1,592.6,503.7,0.67,24,844.38
20241115,3,1,592.9,504.0,0.5,24,772.28
20241116,3,1,680.6,578.5,0.24,24,820.59
20241117,3,1,573.4,487.4,0.59,24,702.15
20241118,3,1,557.7,474.0,0.3,24,706.81
20241119,3,1,647.9,550.7,0.68,24,909.32
20241120,3,1,642.2,545.9,0.17,24,849.87
20241121,3,1,587.0,499.0,0.12,24,687.76
20241122,3,1,584.4,496.8,1.42,24,736.87
20241123,3,1,646.2,549.3,1.7,24,699.57
20241124,3,1,668.6,568.3,0.85,24,952.73
20241125,3,1,645.5,548.7,1.3,24,816.87
20241126,3,1,632.2,537.4,1.26,24,813.62
20241127,3,1,582.7,495.3,1.56,24,658.79
20241128,3,1,661.6,562.4,0.88,24,806.95
20241129,3,1,598.2,508.4,0.39,24,722.13
20241130,3,1,679.5,577.6,1.25,24,802.96
20241201,3,1,684.9,582.1,1.27,24,898.17
20241202,3,1,690.6,587.0,0.54,24,1019.61
20241203,3,1,754.8,641.5,0.6,24,922.13
20241204,3,1,705.3,599.5,1.42,24,1011.83
20241205,3,1,752.9,639.9,0.7,24,1009.06
20241206,3,1,710.9,604.2,1.14,24,920.51
20241207,3,1,717.3,609.7,0.69,24,952.13
20241208,3,1,743.7,632.2,1.28,24,1010.74
20241209,3,1,629.1,534.7,0.76,24,795.06
20241210,3,1,734.6,624.4,2.15,24,988.53
20241211,3,1,704.5,598.8,1.15,24,908.36
20241212,3,1,747.2,635.2,0.95,24,1052.79
20241213,3,1,645.7,548.9,2.0,24,828.74
20241214,3,1,596.5,507.1,0.37,24,864.21
20241215,3,1,707.4,601.2,1.27,24,869.05
20241216,3,1,617.0,524.5,1.37,24,774.34
20241217,3,1,680.4,578.4,1.11,24,746.79
20241218,3,1,800.4,680.3,1.75,24,1063.12
20241219,3,1,831.2,706.5,1.18,24,1149.92
20241220,3,1,750.9,638.3,1.55,24,958.08
20241221,3,1,688.7,585.4,1.49,24,828.37
20241222,3,1,797.3,677.7,0.87,24,1087.4
20241223,3,1,760.4,646.4,0.52,24,994.62
20241224,3,1,699.1,594.2,0.73,24,781.29
20241225,3,1,745.4,633.6,0.91,24,1021.92
20241226,3,1,687.7,584.6,0.67,24,954.39
20241227,3,1,739.1,628.2,1.76,24,892.01
20241228,3,1,719.7,611.8,0.66,24,993.93
20241229,3,1,809.3,687.9,0.69,24,1071.1
20241230,3,1,745.8,633.9,0.73,24,934.68
20241231,3,1,789.4,671.0,0.8,24,1073.79
20250101,3,1,705.6,599.7,0.45,24,884.77
20250102,3,1,676.5,575.0,1.12,24,854.4
20250103,3,1,750.2,637.7,0.65,24,1027.94
20250104,3,1,819.3,696.4,1.45,24,1082.3
20250105,3,1,848.3,721.1,0.65,24,1119.8
20250106,3,1,681.7,579.4,1.98,24,779.11
20250107,3,1,804.3,683.6,0.65,24,1138.41
20250108,3,1,750.4,637.8,1.12,24,863.29
20250109,3,1,742.2,630.9,1.51,24,888.98
20250110,3,1,681.9,579.6,1.21,24,883.1
20250111,3,1,555.8,472.4,0.44,24,774.07
20250112,3,1,716.1,608.7,0.94,24,1019.41
20250113,3,1,660.6,561.5,0.45,24,856.33
20250114,3,1,819.7,696.8,0.54,24,953.64
20250115,3,1,744.2,632.6,0.96,24,820.82
20250116,3,1,691.7,588.0,0.72,24,894.12
20250117,3,1,640.8,544.7,1.18,24,706.01
20250118,3,1,737.7,627.0,5.16,24,930.72
20250119,3,1,701.8,596.5,1.06,24,1028.85
20250120,3,1,749.4,637.0,0.78,24,972.25
20250121,3,1,674.1,573.0,1.18,24,888.25
20250122,3,1,617.3,524.7,0.73,24,747.95
20250123,3,1,650.9,553.3,1.31,24,732.6
20250124,3,1,751.6,638.8,0.65,24,974.05
20250125,3,1,690.5,586.9,0.56,24,882.3
20250126,3,1,692.1,588.3,0.49,24,933.31
20250127,3,1,685.4,582.6,0.0,24,993.94
20250128,3,1,664.4,564.7,0.59,24,934.34
20250129,3,1,619.8,526.9,1.26,24,877.0
20250130,3,1,645.0,548.3,0.6,24,878.65
20250131,3,1,743.5,631.9,1.09,24,939.75
20250201,3,1,734.2,624.1,0.88,24,1012.09
20250202,3,1,739.4,628.4,0.97,24,982.9
20250203,3,1,808.2,687.0,1.21,24,998.04
20250204,3,1,746.1,634.2,1.58,24,1014.92
20250205,3,1,694.0,589.9,1.46,24,858.23
20250206,3,1,881.8,749.6,1.27,24,1035.22
20250207,3,1,723.9,615.3,0.18,24,950.69
20250208,3,1,737.3,626.7,0.23,24,1084.58
20250209,3,1,791.9,673.1,1.16,24,1123.56
20250210,3,1,726.9,617.9,1.33,24,1111.1
20250211,3,1,788.3,670.0,0.34,24,1031.92
20250212,3,1,772.4,656.6,0.67,24,967.51
20250213,3,1,748.7,636.4,0.63,24,1017.62
20250214,3,1,751.5,638.7,1.38,24,936.12
20250215,3,1,686.8,583.8,1.37,24,894.88
20250216,3,1,687.6,584.4,1.2,24,892.86
20250217,3,1,665.6,565.7,1.79,24,864.24
20250218,3,1,740.3,629.2,0.67,24,926.4
20250219,3,1,743.0,631.6,0.98,24,873.9
20250220,3,1,678.4,576.6,1.1,24,802.19
20250221,3,1,695.1,590.8,0.58,24,693.53
20250222,3,1,733.7,623.7,1.11,24,989.54
20250223,3,1,669.3,568.9,1.33,24,977.17
20250224,3,1,717.0,609.4,0.46,24,907.77
20250225,3,1,692.0,588.2,0.75,24,976.34
20250226,3,1,796.9,677.4,1.77,24,1020.46
20250227,3,1,720.0,612.0,0.69,24,1006.88
20250228,3,1,698.8,594.0,0.8,24,875.58
20250301,3,1,597.1,507.5,0.34,24,757.22
20250302,3,1,575.0,488.7,0.74,24,721.09
20250303,3,1,614.6,522.4,1.37,24,718.27
20250304,3,1,638.9,543.0,1.45,24,819.07
20250305,3,1,536.2,455.8,2.16,24,635.17
20250306,3,1,610.8,519.2,1.23,24,752.95
20250307,3,1,694.0,589.9,2.04,24,803.82
20250308,3,1,603.1,512.7,0.67,24,846.94
20250309,3,1,652.9,555.0,1.1,24,868.55
20250310,3,1,629.7,535.2,1.01,24,788.76
20250311,3,1,597.5,507.9,1.16,24,662.11
20250312,3,1,663.7,564.1,1.18,24,862.24
20250313,3,1,608.4,517.1,1.22,24,748.82
20250314,3,1,648.7,551.4,0.69,24,885.84
20250315,3,1,575.1,488.8,1.69,24,791.49
20250316,3,1,596.9,507.3,0.67,24,837.87
20250317,3,1,643.2,546.7,1.26,24,778.01
20250318,3,1,521.4,443.2,1.11,24,663.83
20250319,3,1,577.3,490.7,0.62,24,655.38
20250320,3,1,673.0,572.1,1.29,24,909.47
20250321,3,1,655.2,557.0,0.4,24,953.01
20250322,3,1,714.0,606.9,0.97,24,882.09
20250323,3,1,611.2,519.5,0.88,24,748.31
20250324,3,1,623.6,530.0,1.96,24,844.61
20250325,3,1,603.7,513.1,0.75,24,741.1
20250326,3,1,566.7,481.7,1.33,24,706.14
20250327,3,1,570.9,485.3,1.27,24,791.17
20250328,3,1,612.7,520.8,0.78,24,738.55
20250329,3,1,609.1,517.7,0.0,24,752.64
20250330,3,1,509.6,433.1,1.43,24,578.92
20250331,3,1,548.5,466.3,1.07,24,779.43
20250401,3,1,609.1,517.8,0.28,24,802.8
20250402,3,1,656.0,557.6,1.15,24,727.05
20250403,3,1,625.8,532.0,0.23,24,817.79
20250404,3,1,600.4,510.4,0.95,24,754.44
20250405,3,1,586.2,498.3,1.43,24,765.23
20250406,3,1,504.8,429.1,1.05,24,602.32
20250407,3,1,483.4,410.9,0.57,24,608.82
20250408,3,1,593.2,504.2,0.52,24,701.15
20250409,3,1,548.0,465.8,1.69,24,718.85
20250410,3,1,591.3,502.6,0.48,24,800.46
20250411,3,1,602.3,511.9,1.23,24,776.94
20250412,3,1,522.3,444.0,0.82,24,698.07
20250413,3,1,522.4,444.0,0.1,24,678.17
20250414,3,1,721.5,613.3,1.22,24,966.34
20250415,3,1,605.9,515.0,0.7,24,755.78
20250416,3,1,639.7,543.7,0.35,24,794.66
20250417,3,1,517.5,439.9,1.79,24,648.64
20250418,3,1,615.1,522.8,0.37,24,809.56
20250419,3,1,555.9,472.5,1.22,24,623.25
20250420,3,1,433.5,368.5,0.0,24,516.84
20250421,3,1,620.8,527.7,0.88,24,816.54
20250422,3,1,701.4,596.2,1.39,24,878.08
20250423,3,1,581.8,494.5,5.55,24,759.38
20250424,3,1,580.2,493.2,0.4,24,714.05
20250425,3,1,596.3,506.8,6.3,24,783.48
20250426,3,1,603.5,513.0,1.13,24,785.65
20250427,3,1,529.9,450.4,1.09,24,604.74
20250428,3,1,595.3,506.0,1.14,24,728.92
20250429,3,1,580.3,493.2,1.28,24,675.26
20250430,3,1,565.0,480.3,0.19,24,752.02
20250501,3,1,618.9,526.1,1.28,24,804.49
20250502,3,1,583.6,496.1,0.99,24,641.74
20250503,3,1,581.8,494.5,0.42,24,731.77
20250504,3,1,623.3,529.8,0.88,24,769.75
20250505,3,1,529.0,449.7,0.52,24,668.71
20250506,3,1,498.1,423.3,1.65,24,619.53
20250507,3,1,543.6,462.1,0.87,24,728.2
20250508,3,1,536.4,456.0,0.9,24,651.29
20250509,3,1,582.1,494.8,0.65,24,731.55
20250510,3,1,636.3,540.8,0.77,24,845.97
20250511,3,1,513.9,436.8,1.01,24,628.3
20250512,3,1,508.5,432.3,0.64,24,634.18
20250513,3,1,579.5,492.6,1.69,24,675.26
20250514,3,1,459.8,390.8,1.94,24,552.18
20250515,3,1,559.7,475.7,0.63,24,694.18
20250516,3,1,716.3,608.8,0.76,24,929.1
20250517,3,1,602.0,511.7,1.19,24,769.88
20250518,3,1,609.9,518.4,0.6,24,767.77
20250519,3,1,617.9,525.2,1.26,24,845.36
20250520,3,1,646.9,549.8,0.9,24,818.06
20250521,3,1,571.4,485.7,0.88,24,762.29
20250522,3,1,597.6,507.9,1.48,24,756.43
20250523,3,1,565.8,481.0,1.22,24,691.48
20250524,3,1,548.4,466.1,0.44,24,702.17
20250525,3,1,658.8,559.9,0.89,24,813.7
20250526,3,1,611.4,519.7,1.33,24,743.34
20250527,3,1,514.6,437.4,1.06,24,691.63
20250528,3,1,625.8,532.0,1.05,24,779.23
20250529,3,1,560.9,476.8,1.0,24,734.23
20250530,3,1,671.8,571.0,1.18,24,899.82
20250531,3,1,463.5,394.0,0.82,24,547.12
20250601,3,1,425.4,361.6,0.64,24,474.97
20250602,3,1,390.4,331.8,1.3,24,531.73
20250603,3,1,424.8,361.1,1.83,24,517.55
20250604,3,1,495.7,421.3,1.26,24,668.12
20250605,3,1,465.1,395.3,0.82,24,543.61
20250606,3,1,499.2,424.3,0.37,24,618.46
20250607,3,1,445.8,378.9,1.35,24,656.53
20250608,3,1,370.9,315.2,0.91,24,475.67
20250609,3,1,502.1,426.8,1.87,24,682.47
20250610,3,1,355.8,302.4,1.0,24,460.39
20250611,3,1,448.2,381.0,0.0,24,579.1
20250612,3,1,426.1,362.2,0.67,24,529.48
20250613,3,1,410.6,349.0,1.16,24,539.9
20250614,3,1,549.3,466.9,1.45,24,741.76
20250615,3,1,289.1,245.7,1.41,24,410.24
20250616,3,1,345.4,293.6,0.81,24,405.94
